"OBJECTID_1","OBJECTID","HAZUSID","Name","Address","City","Zip","COUNTY","X","Y","LONGLAT","USNG","OWNERSHIP","PARCELID","FACILITY_T","TTL_BEDS","EFCLASS","Asset_Elevation","Owned_Maintained","Asset","Asset_Sub_Type","Asset_Type","Asset_Group","Asset_Relevancy","Asset_ID","Municipality","Water_Management_District","Souce_Dataset_Entity","Souce_Dataset_Name","Source_Asset_ID","Restricted_Public_Disclosure","Notes","Regional_Planning_Council","FDEP_Regulatory_District","RCP_Region","FDOT_District","House_District_Number","Senate_District_Number","CTF_RL_2020","CTF_RL_2040_IL","CTF_RL_2040_INT","CTF_RL_2070_IL","CTF_RL_2070_INT","SSF_RL_100YR_CURR","SSF_RL_100YR_2040_IL","SSF_RL_100YR_2040_INT","SSF_RL_100YR_2070_IL","SSF_RL_100YR_2070_INT","SSF_RL_500YR_CURR","SSF_RL_500YR_2040_IL","SSF_RL_500YR_2040_INT","SSF_RL_500YR_2070_IL","SSF_RL_500YR_2070_INT","RIF_RL_100YR_2020","RIF_RL_100YR_2040","RIF_RL_100YR_2070","RIF_RL_500YR_2020","RIF_RL_500YR_2040","RIF_RL_500YR_2070"
"11","11"," ","GULF COAST REGIONAL MED CENT","449 W 23RD ST","PANAMA CITY","32405","Bay","-85.665152","30.189653","-85.66515200,30.18965300","16R FU 28503 40553"," "," ","HOSPITAL - ACUTE CARE","216","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_11","Panama City","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","6","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"12","12"," ","325TH MED GROUP USAF","340 MAGNOLIA CIRCLE","TYNDALL AIR FORCE BASE","32403","Bay","-85.60302","30.07105","-85.60302000,30.07105000","16R FU 34646 27480"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_12",,"Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","6","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"13","13"," ","GULF COAST HLTH SYSTEM - PANAMA CTY","101 VERNON AVE","PANAMA CITY BEACH","32407","Bay","-85.75838","30.17674","-85.75838000,30.17674000","16R FU 19543 39020"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_13",,"Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","6","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"14","14"," ","BAY MED CENT/SACRED HEART HEALTH","615 N BONITA AVE","PANAMA CITY","32401","Bay","-85.64839536","30.15976409","-85.64839536,30.15976409","16R FU 30155 37260"," "," ","HOSPITAL - TRAUMA","323","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_14","Panama City","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","6","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"15","15"," ","SHANDS STARKE REGIONAL MEDICAL CNTR","922 E CALL ST","STARKE","32091","Bradford","-82.10159646","29.94013189","-82.10159646,29.94013189","17R LP 93686 12661"," "," ","HOSPITAL - ACUTE CARE","49","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_15","Starke","Suwannee River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","10","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"16","16"," ","CAPE CANAVERAL HOSP","701 W COCOA BEACH CSWY","COCOA BEACH","32931","Brevard","-80.62303951","28.36010552","-80.62303951,28.36010552","17R NM 36939 37151"," "," ","HOSPITAL - ACUTE CARE","150","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_16","Cocoa Beach","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","31","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"17","17"," ","PALM BAY HOSPITAL","1425 MALABAR RD NE","PALM BAY","32907","Brevard","-80.61167304","27.99986717","-80.61167304,27.99986717","17R NL 38181 97248"," "," ","HOSPITAL - ACUTE CARE","152","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_17","Palm Bay","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","33","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"18","18"," ","WUESTHOFF MEDICAL CENTER - ROCKLEDGE","110 LONGWOOD AVE","ROCKLEDGE","32955","Brevard","-80.72279882","28.33511522","-80.72279882,28.33511522","17R NM 27170 34356"," "," ","HOSPITAL - ACUTE CARE","298","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_18","Rockledge","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"19","19"," ","VIERA HOSPITAL","8745 N WICKHAM RD","MELBOURNE","32940","Brevard","-80.72933458","28.22797118","-80.72933458,28.22797118","17R NM 26556 22485"," "," ","HOSPITAL - ACUTE CARE","84.00084","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_19",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"20","20"," ","PARRISH MEDICAL CNTR","951 N WASHINGTON AVE","TITUSVILLE","32796","Brevard","-80.82409566","28.63073156","-80.82409566,28.63073156","17R NM 17193 67087"," "," ","HOSPITAL - ACUTE CARE","210","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_20","Titusville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","30","8","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"21","21"," ","HEALTHSOUTH SEA PINES REHAB HOSP","101 E FLORIDA AVE","MELBOURNE","32901","Brevard","-80.62013956","28.05556466","-80.62013956,28.05556466","17R NM 37329 03415"," "," ","HOSPITAL","90","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_21","Melbourne","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","33","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium"
"22","22"," ","KINDRED HOSP - MELBOURNE","765 W NASA BLVD","MELBOURNE","32901","Brevard","-80.63239371","28.09288067","-80.63239371,28.09288067","17R NM 36113 07545"," "," ","HOSPITAL","60","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_22","Melbourne","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"23","23"," ","CIRCLES OF CARE HOSP","400 E SHERIDAN RD","MELBOURNE","32901","Brevard","-80.61583265","28.08968332","-80.61583265,28.08968332","17R NM 37741 07196"," "," ","HOSPITAL","52","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_23","Melbourne","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"24","24"," ","DEVEREUX FL","8000 DEVEREUX DR","VIERA","32940","Brevard","-80.70819754","28.23417908","-80.70819754,28.23417908","17R NM 28628 23178"," "," ","HOSPITAL","100","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_24",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"25","25"," ","WUESTHOFF MEDICAL CENTER - MELBOURNE","250 N WICKHAM RD","MELBOURNE","32935","Brevard","-80.67481341","28.10936576","-80.67481341,28.10936576","17R NM 31940 09360"," "," ","HOSPITAL - ACUTE CARE","119","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_25","Melbourne","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"26","26"," ","HOLMES REGION MED CNTR","1350 S HICKORY ST","MELBOURNE","32901","Brevard","-80.61437872","28.0882045","-80.61437872,28.08820450","17R NM 37884 07033"," "," ","HOSPITAL - TRAUMA","514","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_26","Melbourne","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"27","27"," ","VIERA OUTPATIENT CLIN","2900 VETERANS WAY","VIERA","32940","Brevard","-80.74290299","28.25498017","-80.74290299,28.25498017","17R NM 25218 25475"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_27",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","32","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"28","28"," ","45TH MED GROUP","1381 S PATRICK DR","PATRICK AFB","32925","Brevard","-80.60516","28.21663","-80.60516000,28.21663000","17R NM 38743 21263"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_28",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"East Central Florida","Central District","Northeast","5","31","19","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"29","29"," ","MEMORIAL REGIONAL HOSPITAL","3501 JOHNSON ST","HOLLYWOOD","33021","Broward","-80.18000755","26.01891635","-80.18000755,26.01891635","17R NJ 82051 78036"," "," ","HOSPITAL - TRAUMA","777","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_29","Hollywood","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","105","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"30","30"," ","BROWARD HEALTH MED CENT","1600 S ANDREWS AVE","FORT LAUDERDALE","33316","Broward","-80.14022481","26.10355622","-80.14022481,26.10355622","17R NJ 85970 87435"," "," ","HOSPITAL - TRAUMA","716","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_30","Fort Lauderdale","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","100","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium","Medium","Not Affected","Low","Not Affected","Medium","Medium","Medium"
"31","31"," ","BROWARD HEALTH N","201 E SAMPLE RD","POMPANO BEACH","33064","Broward","-80.12211756","26.27749614","-80.12211756,26.27749614","17R NK 87651 06712"," "," ","HOSPITAL - TRAUMA","409","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_31","Deerfield Beach","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","98","30","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"32","32"," ","UNIVERSITY HOSPITAL AND MEDICAL CNTR","7201 N UNIVERSITY DR","TAMARAC","33321","Broward","-80.25493586","26.21223379","-80.25493586,26.21223379","17R NJ 74431 99401"," "," ","HOSPITAL - ACUTE CARE","317","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_32","Tamarac","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","96","32","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"33","33"," ","BROWARD HEALTH CORAL SPRINGS","3000 CORAL HILLS DR","CORAL SPRINGS","33065","Broward","-80.25574615","26.2692178","-80.25574615,26.26921780","17R NK 74313 05712"," "," ","HOSPITAL - ACUTE CARE","200","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_33","Coral Springs","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","96","30","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"34","34"," ","SOUTH FLORIDA STATE HOSPITAL","800 E CYPRESS DR","PEMBROKE PINES","33025","Broward","-80.25070538","26.00282918","-80.25070538,26.00282918","17R NJ 74987 76212"," "," ","HOSPITAL - ACUTE CARE","350","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_34","Pembroke Pines","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","104","35","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium","Medium","Low","Medium","Low","Medium","Medium","Medium"
"35","35"," ","CLEVELAND CLINIC HOSP","3100 WESTON RD","WESTON","33326","Broward","-80.3653547","26.08224781","-80.36535470,26.08224781","17R NJ 63470 84946"," "," ","HOSPITAL - ACUTE CARE","155","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_35","Weston","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","103","35","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
